"Börsdata ID";"Company";"Stock price - Current";"Info - Price Currency";"Info - Country";"Info - Ticker";"Info - Sector";"Market Cap - Current SEK";"P/E - Current";"Earnings/share - Growth 1y";"PEG - Current";"ROC - Current";"Rel. Perform - Perform. 1y"
"1871";"2020 Bulkers";"132.00";"NOK";"Norway";"2020";"Industrials";"3117.7";"10.1";"-61.3%";"-0.2";"29.1%";"-3.1%"
"1550";"2cureX";"1.23";"SEK";"Sweden";"2CUREX";"Health Care";"30.8";"-11.8";"36.7%";;;"214.9%"
"1435";"36 Group";"0.16";"SEK";"Sweden";"36GRP";"Consumer Durables";"5.7";"-0.3";"73.1%";;"-40.2%";"-93.8%"
"2396";"4C Group";"8.32";"SEK";"Sweden";"4C";"Technology";"318.4";"-19.0";"-337.4%";;"2.8%";"-55.8%"
"1165";"5th Planet Games";"1.32";"NOK";"Norway";"5PG";"Consumer Durables";"363.5";"86.3";"270.2%";"0.3";"-10.8%";"23.4%"
"889";"A.P. Moller Maersk B";"18380.00";"DKK";"Denmark";"MAERSK B";"Industrials";"439314.9";"16.1";"-53.7%";"-0.3";"5.4%";"38.6%"
"1398";"AAC Clyde Space";"115.60";"SEK";"Sweden";"AAC";"Technology";"891.6";"-15.2";"-663.0%";;"-5.6%";"35.1%"
"2";"AAK";"225.80";"SEK";"Sweden";"AAK";"Food and Beverage";"58832.4";"17.1";"-3.3%";"-5.2";"23.0%";"-27.0%"
"1213";"Aalborg Boldspilklub";"27.00";"DKK";"Denmark";"AAB";"Consumer Durables";"109.9";"7.5";"116.8%";"0.1";"16.2%";"-15.2%"
"1833";"Aallon Group";"9.06";"EUR";"Finland";"AALLON";"Financials";"397.4";"14.9";"1.1%";"14.0";"13.3%";"-20.4%"
"1181";"Aasen Sparebank";"147.94";"NOK";"Norway";"AASB";"Financials";"263.6";"11.4";"14.1%";"0.8";"1.5%";"5.5%"
"2481";"ABAS Protect";"7.30";"SEK";"Sweden";"ABAS";"Industrials";"51.6";"-15.2";"-562.3%";;"-3.6%";"-22.9%"
"3";"ABB";"776.00";"SEK";"Sweden";"ABB";"Industrials";"1430866.0";"33.6";"17.4%";"1.9";"25.4%";"28.3%"
"1461";"Abelco Investment";"0.0040";"SEK";"Sweden";"ABIG";"Financials";"9.2";"-1.1";;;"-11.3%";"-28.3%"
"2079";"Abera Bioscience";"6.10";"SEK";"Sweden";"ABERA";"Health Care";"125.0";"-10.8";"-690.4%";;;"9.0%"
"1034";"ABG Sundal Collier";"7.92";"NOK";"Norway";"ABG";"Financials";"4305.1";"11.5";"18.1%";"0.6";"71.5%";"4.7%"
"1040";"ABL Group";"11.10";"NOK";"Norway";"ABL";"Energy";"1525.4";"-26.1";"-219.6%";;"3.3%";"10.0%"
"437";"Absolent Air Care";"181.50";"SEK";"Sweden";"ABSO";"Industrials";"2054.8";"29.3";"-51.2%";"-0.6";"11.7%";"-38.0%"
"1336";"Absolicon";"5.00";"SEK";"Sweden";"ABSL B";"Utilities";"40.3";"-2.9";"33.4%";;"-35.9%";"20.5%"
"1323";"AcadeMedia";"98.10";"SEK";"Sweden";"ACAD";"Industrials";"9423.4";"11.6";"19.7%";"0.6";"10.5%";"15.9%"
"1397";"Acarix";"0.28";"SEK";"Sweden";"ACARIX";"Health Care";"326.7";"-6.8";"41.0%";;"-241.3%";"-9.2%"
"2198";"Acast";"26.50";"SEK";"Sweden";"ACAST";"Technology";"4835.3";"-42.7";"-243.5%";;"-2.5%";"63.8%"
"1572";"Acconeer";"9.82";"SEK";"Sweden";"ACCON";"Industrials";"747.7";"-33.9";"51.7%";;"-18.8%";"67.0%"
"2597";"Ace Digital";"0.44";"NOK";"Norway";"ACED";"Technology";"57.0";;;;;
"432";"Acenta Group";"5.00";"SEK";"Sweden";"PADEL";"Consumer Durables";"40.1";"-0.3";;;;"-50.2%"
"1402";"AcouSort";"2.88";"SEK";"Sweden";"ACOU";"Health Care";"61.0";"-4.6";"37.6%";;"-90.7%";"-32.3%"
"607";"Acrinova A";"11.10";"SEK";"Sweden";"ACRI A";"Financials";"483.3";"32.9";"-41.7%";"-0.8";"3.7%";"15.0%"
"525";"Acroud";"0.13";"SEK";"Sweden";"ACROUD";"Consumer Durables";"171.4";"-3.1";"73.0%";;"-1.8%";"-6.8%"
"1426";"Actic Group";"29.70";"SEK";"Sweden";"ATIC";"Consumer Durables";"675.9";"8.7";"969.2%";"0.0";"14.4%";"156.9%"
"6";"Active Biotech";"0.041";"SEK";"Sweden";"ACTI";"Health Care";"107.3";"-1.4";"66.7%";;;"-65.0%"
"1451";"AcuCort";"0.58";"SEK";"Sweden";"ACUC";"Health Care";"136.9";"-5.2";"23.5%";;"-72.1%";"-34.4%"
"1326";"Acuvi";"11.72";"SEK";"Sweden";"ACUVI";"Industrials";"390.9";"-25.5";"-138.3%";;"-1.3%";"-30.7%"
"1015";"AddLife";"138.10";"SEK";"Sweden";"ALIF B";"Health Care";"16910.3";"30.0";"123.3%";"0.2";"12.6%";"-16.0%"
"7";"Addnode";"64.90";"SEK";"Sweden";"ANOD B";"Technology";"8862.3";"22.9";"-6.0%";"-3.8";"10.8%";"-47.5%"
"8";"Addtech";"296.80";"SEK";"Sweden";"ADDT B";"Industrials";"80965.3";"38.6";"15.4%";"2.5";"24.3%";"-13.1%"
"1672";"Admicom";"30.75";"EUR";"Finland";"ADMCM";"Technology";"1728.9";"29.1";"-10.2%";"-2.9";"29.0%";"-50.6%"
"2348";"Administer";"2.28";"EUR";"Finland";"ADMIN";"Technology";"381.9";"-19.7";"28.9%";;"-1.0%";"-8.3%"
"1736";"ADS Maritime";"2.40";"NOK";"Norway";"ADS";"Industrials";"175.5";"18.7";"-35.5%";"-0.5";"-2.7%";"9.3%"
"2318";"Adtraction";"31.20";"SEK";"Sweden";"ADTR";"Consumer Durables";"518.1";"-62.4";"39.8%";;"-15.9%";"-11.1%"
"420";"Advenica";"13.80";"SEK";"Sweden";"ADVE";"Technology";"607.0";"36.6";"105.8%";"0.3";"28.8%";"-30.1%"
"1751";"Adverty";"0.041";"SEK";"Sweden";"ADVT";"Consumer Durables";"22.6";"-1.4";"69.7%";;"-68.6%";"-77.0%"
"1411";"Aerowash";"2.62";"SEK";"Sweden";"AERW B";"Industrials";"54.4";"-4.7";"-189.1%";;"-27.3%";"-33.2%"
"1009";"AF Gruppen";"175.60";"NOK";"Norway";"AFG";"Industrials";"20559.4";"17.6";"53.2%";"0.3";"44.9%";"10.8%"
"793";"Afarak";"0.25";"EUR";"Finland";"AFAGR";"Materials";"769.5";"-7.7";"-17.9%";;"-2.3%";"-31.3%"
"1700";"Africa Energy";"2.12";"SEK";"Sweden";"AEC";"Energy";"1015.8";"-3.6";"90.6%";;"-72.4%";"66.9%"
"1701";"Africa Resources";"0.46";"SEK";"Sweden";"AFRI";"Materials";"23.0";"-3.0";"-79.8%";;"-20.4%";"-3.3%"
"241";"AFRY";"123.00";"SEK";"Sweden";"AFRY";"Industrials";"13930.0";"17.4";"-34.9%";"-0.5";"8.5%";"-45.6%"
"1289";"Agat Ejendomme";"1.11";"DKK";"Denmark";"AGAT";"Financials";"197.4";"27.8";"109.2%";"0.3";"2.4%";"-27.3%"
"395";"Ages Industri";"48.00";"SEK";"Sweden";"AGES B";"Industrials";"347.2";"16.4";"113.5%";"0.1";"8.5%";"-30.1%"
"1214";"AGF B";"1.17";"DKK";"Denmark";"AGF B";"Consumer Durables";"954.0";"-24.3";"-582.0%";;"-10.0%";"37.9%"
"1686";"Agillic";"6.90";"DKK";"Denmark";"AGILC";"Technology";"116.2";"-6.8";"40.9%";;;"-33.3%"
"1981";"Agilyx";"12.40";"NOK";"Norway";"AGLX";"Industrials";"1607.5";"-5.2";"-48.5%";;"-5.6%";"-65.6%"
"1478";"Agtira";"1.99";"SEK";"Sweden";"AGTIRA B";"Food and Beverage";"263.0";"-5.5";"79.4%";;"-22.0%";"31.8%"
"2337";"Aiforia Technologies";"1.73";"EUR";"Finland";"AIFORIA";"Technology";"650.9";"-4.2";"4.0%";;"-71.7%";"-61.7%"
"578";"AIK Fotboll";"1.60";"SEK";"Sweden";"AIK B";"Consumer Durables";"34.8";"-1.6";"-429.5%";;"-54.2%";"-11.9%"
"545";"Aike";"0.054";"SEK";"Sweden";"AIKE B";"Industrials";"4.0";"-0.1";"96.6%";;"-162.2%";"-85.0%"
"1395";"Aino Health";"0.14";"SEK";"Sweden";"AINO";"Industrials";"29.5";"-4.8";"38.2%";;;"-34.3%"
"1599";"Aixia";"52.60";"SEK";"Sweden";"AIXIA B";"Technology";"82.9";"-23.7";"-124.8%";;"-9.2%";"-58.2%"
"1036";"Akastor";"14.90";"NOK";"Norway";"AKAST";"Energy";"4205.1";"-27.6";"-109.1%";;"-0.3%";"7.5%"
"1037";"Aker";"1134.00";"NOK";"Norway";"AKER";"Financials";"86809.6";"23.3";"-66.1%";"-0.4";"-0.7%";"75.5%"
"1954";"Aker BioMarine";"106.00";"NOK";"Norway";"AKBM";"Food and Beverage";"9577.7";"-329.4";"80.6%";;"4.4%";"76.0%"
